File,Raw,ZIP,PNG,RLE,JP2,CTL
(0000)-1-001.dcm,524288,238968,219633,239446,253873,1
(0001)-1-002.dcm,524288,238967,219751,239592,254039,1
(0002)-1-003.dcm,524288,239163,220701,240392,254505,1
(0003)-1-004.dcm,524288,240067,221092,241390,254979,1
(0004)-1-005.dcm,524288,239798,221485,241766,254962,1
(0005)-1-006.dcm,524288,239167,221647,242810,254851,1
(0006)-1-007.dcm,524288,237446,220757,242590,254535,1
(0007)-1-008.dcm,524288,236405,220349,242382,254271,1
(0008)-1-009.dcm,524288,235592,219863,242226,253956,1
(0009)-1-010.dcm,524288,235319,219666,242580,253826,1
(0010)-1-011.dcm,524288,234852,220307,242338,253492,1
(0011)-1-012.dcm,524288,234771,219083,243150,253277,1
(0012)-1-013.dcm,524288,234610,219151,243670,253355,1
(0013)-1-014.dcm,524288,235172,220099,244006,253976,1
(0014)-1-015.dcm,524288,234660,219979,244374,254015,1
(0015)-1-016.dcm,524288,234239,218935,244274,254179,1
(0016)-1-017.dcm,524288,233918,219087,244448,253972,1
(0017)-1-018.dcm,524288,234150,219446,244356,253454,1
(0018)-1-019.dcm,524288,235710,219921,244050,253419,1
(0019)-1-020.dcm,524288,237192,219445,243772,253832,1
(0020)-1-021.dcm,524288,238557,220753,243666,254255,1
(0021)-1-022.dcm,524288,238708,221300,243710,254341,1
(0022)-1-023.dcm,524288,237998,220670,244240,254296,1
(0023)-1-024.dcm,524288,237821,220822,244484,254023,1
(0024)-1-025.dcm,524288,236710,221186,244830,253678,1
(0025)-1-026.dcm,524288,236880,221319,245580,253718,1
(0026)-1-027.dcm,524288,236575,219524,245318,253411,1
(0027)-1-028.dcm,524288,235435,219341,245176,252620,1
(0028)-1-029.dcm,524288,234026,218088,245092,251662,1
(0029)-1-030.dcm,524288,232120,215336,244608,250312,1
(0030)-1-031.dcm,524288,231443,214834,244752,250166,1
(0031)-1-032.dcm,524288,230693,215070,245090,249743,1
(0032)-1-033.dcm,524288,229910,214838,245152,249142,1
(0033)-1-034.dcm,524288,230014,214717,245416,248978,1
(0034)-1-035.dcm,524288,230285,213455,245128,248800,1
(0035)-1-036.dcm,524288,229902,213507,245090,248743,1
(0036)-1-037.dcm,524288,229792,213315,245608,248913,1
(0037)-1-038.dcm,524288,229955,213947,246078,248679,1
(0038)-1-039.dcm,524288,230852,214123,246660,249244,1
(0039)-1-040.dcm,524288,231878,215046,246654,249502,1
(0040)-1-041.dcm,524288,232573,215435,246946,249923,1
(0041)-1-042.dcm,524288,232543,216277,246918,250338,1
(0042)-1-043.dcm,524288,232991,216246,246884,250525,1
(0043)-1-044.dcm,524288,232785,215921,247004,250560,1
(0044)-1-045.dcm,524288,232779,216014,247476,250379,1
(0045)-1-046.dcm,524288,233247,216783,247358,250594,1
(0046)-1-047.dcm,524288,233491,215780,247474,250495,1
(0047)-1-048.dcm,524288,233891,216876,247752,250546,1
(0048)-1-049.dcm,524288,234206,217449,248314,251051,1
(0049)-1-050.dcm,524288,234862,217646,248700,251440,1
(0050)-1-051.dcm,524288,235611,218148,248368,251866,1
(0051)-1-052.dcm,524288,236592,219266,248924,252473,1
(0052)-1-053.dcm,524288,237091,219113,248588,252537,1
(0053)-1-054.dcm,524288,236818,218584,248322,252441,1
(0054)-1-055.dcm,524288,236776,218243,248212,252092,1
(0055)-1-056.dcm,524288,237254,218751,248352,252193,1
(0056)-1-057.dcm,524288,237110,217929,248368,252019,1
(0057)-1-058.dcm,524288,237217,218541,248632,251958,1
(0058)-1-059.dcm,524288,237374,219253,248850,252062,1
(0059)-1-060.dcm,524288,237811,218654,249024,251854,1
(0060)-1-061.dcm,524288,238367,218859,249050,251956,1
(0061)-1-062.dcm,524288,239140,219213,249102,252363,1
(0062)-1-063.dcm,524288,239881,219723,249688,253232,1
(0063)-1-064.dcm,524288,240635,220519,249994,253491,1
(0064)-1-065.dcm,524288,241510,220737,249526,253639,1
(0065)-1-066.dcm,524288,242102,220792,249750,253678,1
(0066)-1-067.dcm,524288,242839,221512,250654,254334,1
(0067)-1-068.dcm,524288,243283,222864,250290,254973,1
(0068)-1-069.dcm,524288,243330,223007,251028,255656,1
(0069)-1-070.dcm,524288,243419,223289,251218,255933,1
(0070)-1-071.dcm,524288,243477,223728,251176,256082,1
(0071)-1-072.dcm,524288,243658,223822,251782,256554,1
(0072)-1-073.dcm,524288,243952,223965,251462,256838,1
